,PostalCode,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
22,M5A,"Regent Park, Harbourfront",43.66070560000001,-79.3604569,Qi sushi,43.66255180762697,-79.36425843422568,Sushi Restaurant
23,M5A,"Regent Park, Harbourfront",43.66070560000001,-79.3604569,Sukhothai,43.658444465539525,-79.36568085121628,Thai Restaurant
24,M5A,"Regent Park, Harbourfront",43.66070560000001,-79.3604569,Dominion Pub and Kitchen,43.65691857501867,-79.35896684476664,Pub
25,M5A,"Regent Park, Harbourfront",43.66070560000001,-79.3604569,Mercedes-Benz Downtown,43.66143119502613,-79.35658517368444,Auto Dealership
26,M5A,"Regent Park, Harbourfront",43.66070560000001,-79.3604569,Toronto Humane Society,43.65769802359708,-79.3565828808708,Animal Shelter
27,M5A,"Regent Park, Harbourfront",43.66070560000001,-79.3604569,I Love Churros,43.65836361668554,-79.36558277878224,Food Truck
28,M5A,"Regent Park, Harbourfront",43.66070560000001,-79.3604569,Regent Park,43.660382523982804,-79.36181011844143,Park
29,M5A,"Regent Park, Harbourfront",43.66070560000001,-79.3604569,Shoppers Drug Mart,43.660204,-79.361332,Pharmacy
30,M5A,"Regent Park, Harbourfront",43.66070560000001,-79.3604569,Vistek,43.65704640025721,-79.35966695607046,Electronics Store
31,M5A,"Regent Park, Harbourfront",43.66070560000001,-79.3604569,Tim Hortons,43.659935,-79.3613063,Coffee Shop
32,M5A,"Regent Park, Harbourfront",43.66070560000001,-79.3604569,The Beer Store,43.657773,-79.3574632,Beer Store
33,M5A,"Regent Park, Harbourfront",43.66070560000001,-79.3604569,Wendy’s,43.660403362711776,-79.36062902212149,Fast Food Restaurant
34,M5A,"Regent Park, Harbourfront",43.66070560000001,-79.3604569,Sultan Of Samosas,43.66022749787444,-79.36622571571063,Indian Restaurant
35,M5A,"Regent Park, Harbourfront",43.66070560000001,-79.3604569,Savoury Grounds,43.656820970004496,-79.3589698353747,Coffee Shop
36,M5A,"Regent Park, Harbourfront",43.66070560000001,-79.3604569,Tim Hortons,43.6599299,-79.3659798,Coffee Shop
37,M5A,"Regent Park, Harbourfront",43.66070560000001,-79.3604569,FreshCo,43.65955158801718,-79.36585713164392,Grocery Store
38,M5A,"Regent Park, Harbourfront",43.66070560000001,-79.3604569,Bark Place Hotel and Spaw,43.6614665351425,-79.3575533174757,Pet Store
39,M6A,"Lawrence Manor, Lawrence Heights",43.72207879999999,-79.4375067,TD Canada Trust,43.71959476063143,-79.43279877315945,Bank
40,M6A,"Lawrence Manor, Lawrence Heights",43.72207879999999,-79.4375067,Prince Charles Park,43.72254699537992,-79.43514044460987,Park
41,M6A,"Lawrence Manor, Lawrence Heights",43.72207879999999,-79.4375067,OshKosh,43.72004848747474,-79.43222241795046,Kids Store
42,M6A,"Lawrence Manor, Lawrence Heights",43.72207879999999,-79.4375067,The Source,43.719999016945664,-79.43210151842939,Electronics Store
43,M6A,"Lawrence Manor, Lawrence Heights",43.72207879999999,-79.4375067,Wellwise by Shoppers Drug Mart,43.719352,-79.432631,Doctor's Office
44,M7A,"Queen's Park, Ontario Provincial Government",43.659659000000005,-79.39033990000001,Mercatto,43.660390911898546,-79.38766421192705,Italian Restaurant
45,M7A,"Queen's Park, Ontario Provincial Government",43.659659000000005,-79.39033990000001,Starbucks,43.65945605353152,-79.39041123272168,Coffee Shop
46,M7A,"Queen's Park, Ontario Provincial Government",43.659659000000005,-79.39033990000001,Jimmy's Coffee,43.65842123574496,-79.38561319551111,Coffee Shop
47,M7A,"Queen's Park, Ontario Provincial Government",43.659659000000005,-79.39033990000001,Neo Coffee Bar,43.66014,-79.38587,Coffee Shop
48,M7A,"Queen's Park, Ontario Provincial Government",43.659659000000005,-79.39033990000001,Vegetarian Haven,43.656016028357094,-79.3927577742003,Vegetarian / Vegan Restaurant
49,M7A,"Queen's Park, Ontario Provincial Government",43.659659000000005,-79.39033990000001,Nando's,43.66172826,-79.38639146,Portuguese Restaurant
50,M7A,"Queen's Park, Ontario Provincial Government",43.659659000000005,-79.39033990000001,Flock Rotisserie + Greens,43.659167,-79.389475,Fried Chicken Joint
51,M7A,"Queen's Park, Ontario Provincial Government",43.659659000000005,-79.39033990000001,Tim Hortons,43.658569999999976,-79.38512341104502,Coffee Shop
52,M7A,"Queen's Park, Ontario Provincial Government",43.659659000000005,-79.39033990000001,Queen's Park,43.66394609897775,-79.39217952520835,Park
53,M7A,"Queen's Park, Ontario Provincial Government",43.659659000000005,-79.39033990000001,Somethin' 2 Talk About,43.65839479027968,-79.38533765920816,Middle Eastern Restaurant
54,M7A,"Queen's Park, Ontario Provincial Government",43.659659000000005,-79.39033990000001,Jimmy's Coffee,43.65582710322224,-79.39204216888555,Café
55,M7A,"Queen's Park, Ontario Provincial Government",43.659659000000005,-79.39033990000001,Prenup Pub,43.658882366438164,-79.39482802742828,Gastropub
56,M7A,"Queen's Park, Ontario Provincial Government",43.659659000000005,-79.39033990000001,Coffee Public,43.66076299149323,-79.38618409033066,Coffee Shop
57,M7A,"Queen's Park, Ontario Provincial Government",43.659659000000005,-79.39033990000001,Bubble Bath & Spa,43.65904951746615,-79.38534357912432,Spa
58,M7A,"Queen's Park, Ontario Provincial Government",43.659659000000005,-79.39033990000001,Toronto Vegetarian Association,43.655953,-79.392854,Office
59,M7A,"Queen's Park, Ontario Provincial Government",43.659659000000005,-79.39033990000001,Koh Lipe,43.655933,-79.39348,Thai Restaurant
60,M7A,"Queen's Park, Ontario Provincial Government",43.659659000000005,-79.39033990000001,Arctic Bites,43.65608524137075,-79.39291311374251,Ice Cream Shop
61,M7A,"Queen's Park, Ontario Provincial Government",43.659659000000005,-79.39033990000001,Starbucks,43.662407,-79.385943,Coffee Shop
62,M7A,"Queen's Park, Ontario Provincial Government",43.659659000000005,-79.39033990000001,Starbucks,43.658204,-79.388998,Coffee Shop
63,M7A,"Queen's Park, Ontario Provincial Government",43.659659000000005,-79.39033990000001,Indigo,43.65773818776676,-79.38966149215145,Bookstore
64,M7A,"Queen's Park, Ontario Provincial Government",43.659659000000005,-79.39033990000001,Tim Hortons,43.6573986,-79.3883129,Coffee Shop
65,M7A,"Queen's Park, Ontario Provincial Government",43.659659000000005,-79.39033990000001,Charidise,43.65598547591116,-79.39323314717795,Bubble Tea Shop
66,M7A,"Queen's Park, Ontario Provincial Government",43.659659000000005,-79.39033990000001,Krispy Kreme Doughnut Cafe,43.65577205054815,-79.391993340322,Donut Shop
67,M7A,"Queen's Park, Ontario Provincial Government",43.659659000000005,-79.39033990000001,Booster Juice,43.65865699,-79.38868207,Smoothie Shop
68,M7A,"Queen's Park, Ontario Provincial Government",43.659659000000005,-79.39033990000001,Sushi Box,43.66295954544153,-79.38657996066198,Sushi Restaurant
69,M7A,"Queen's Park, Ontario Provincial Government",43.659659000000005,-79.39033990000001,Dollarama,43.66068,-79.38468,Discount Store
70,M7A,"Queen's Park, Ontario Provincial Government",43.659659000000005,-79.39033990000001,Booster Juice,43.660323,-79.385445,Juice Bar
71,M7A,"Queen's Park, Ontario Provincial Government",43.659659000000005,-79.39033990000001,Midi Bistro,43.65587131386703,-79.39209126452964,French Restaurant
72,M7A,"Queen's Park, Ontario Provincial Government",43.659659000000005,-79.39033990000001,RBC Royal Bank,43.65933603842843,-79.38977326176165,Bank
73,M7A,"Queen's Park, Ontario Provincial Government",43.659659000000005,-79.39033990000001,Subway,43.65946709895447,-79.38824850471555,Sandwich Place
74,M7A,"Queen's Park, Ontario Provincial Government",43.659659000000005,-79.39033990000001,Bodega Restaurant,43.655961,-79.393675,French Restaurant
75,M7A,"Queen's Park, Ontario Provincial Government",43.659659000000005,-79.39033990000001,Fat Bastard Burrito,43.65889963097279,-79.39452966832613,Burrito Place
76,M7A,"Queen's Park, Ontario Provincial Government",43.659659000000005,-79.39033990000001,Starbucks,43.65602357573824,-79.38877766280795,Coffee Shop
77,M7A,"Queen's Park, Ontario Provincial Government",43.659659000000005,-79.39033990000001,Starbucks,43.65952575859537,-79.39027029345037,Coffee Shop
78,M7A,"Queen's Park, Ontario Provincial Government",43.659659000000005,-79.39033990000001,Light Café 路燈咖啡,43.65607098189164,-79.39302058882892,Café
79,M7A,"Queen's Park, Ontario Provincial Government",43.659659000000005,-79.39033990000001,Cafe La Gaffe,43.65621134762937,-79.39333144271436,Café
80,M7A,"Queen's Park, Ontario Provincial Government",43.659659000000005,-79.39033990000001,Subway,43.65897011920262,-79.3908742539673,Sandwich Place
81,M7A,"Queen's Park, Ontario Provincial Government",43.659659000000005,-79.39033990000001,Shoppers Drug Mart,43.657566,-79.388477,Pharmacy
82,M7A,"Queen's Park, Ontario Provincial Government",43.659659000000005,-79.39033990000001,Est West Cafe,43.65954133608129,-79.39063666861075,Salad Place
83,M7A,"Queen's Park, Ontario Provincial Government",43.659659000000005,-79.39033990000001,Second Cup,43.65763711605256,-79.3895120341753,Café
84,M7A,"Queen's Park, Ontario Provincial Government",43.659659000000005,-79.39033990000001,Second Cup,43.65901832092224,-79.3941523126699,Coffee Shop
85,M7A,"Queen's Park, Ontario Provincial Government",43.659659000000005,-79.39033990000001,Subway,43.657379532300766,-79.38743239235635,Sandwich Place
86,M7A,"Queen's Park, Ontario Provincial Government",43.659659000000005,-79.39033990000001,Subway,43.658683235357074,-79.39489579355643,Sandwich Place
87,M7A,"Queen's Park, Ontario Provincial Government",43.659659000000005,-79.39033990000001,Aroma Espresso Bar,43.658927676749364,-79.38990298985978,Café
88,M7A,"Queen's Park, Ontario Provincial Government",43.659659000000005,-79.39033990000001,Colaba Junction,43.66094,-79.385635,Indian Restaurant
89,M7A,"Queen's Park, Ontario Provincial Government",43.659659000000005,-79.39033990000001,Thai Express,43.66163,-79.38734,Thai Restaurant
90,M7A,"Queen's Park, Ontario Provincial Government",43.659659000000005,-79.39033990000001,Omai,43.656006,-79.392494,Japanese Restaurant
91,M7A,"Queen's Park, Ontario Provincial Government",43.659659000000005,-79.39033990000001,Tim Hortons,43.6610382,-79.3937966,Coffee Shop
92,M7A,"Queen's Park, Ontario Provincial Government",43.659659000000005,-79.39033990000001,Starbucks,43.660887,-79.39372,Coffee Shop
93,M7A,"Queen's Park, Ontario Provincial Government",43.659659000000005,-79.39033990000001,Subway,43.66065333524068,-79.38450645041331,Sandwich Place
94,M7A,"Queen's Park, Ontario Provincial Government",43.659659000000005,-79.39033990000001,Tim Hortons,43.6594149,-79.3912214,Coffee Shop
95,M7A,"Queen's Park, Ontario Provincial Government",43.659659000000005,-79.39033990000001,Tim Hortons,43.6575525,-79.3885343,Coffee Shop
96,M7A,"Queen's Park, Ontario Provincial Government",43.659659000000005,-79.39033990000001,Convocation Hall,43.66082829233904,-79.39524545662506,College Auditorium
97,M7A,"Queen's Park, Ontario Provincial Government",43.659659000000005,-79.39033990000001,Hua Sang Seafood Restaurant,43.65598631977402,-79.39370277360942,Chinese Restaurant
98,M7A,"Queen's Park, Ontario Provincial Government",43.659659000000005,-79.39033990000001,Bread and Bowl,43.656417411563346,-79.39051367258449,Sandwich Place
99,M7A,"Queen's Park, Ontario Provincial Government",43.659659000000005,-79.39033990000001,SUDS,43.65988035580764,-79.39471219966201,Bar
100,M7A,"Queen's Park, Ontario Provincial Government",43.659659000000005,-79.39033990000001,Yummy Zone,43.662755747929545,-79.38659907574278,Bubble Tea Shop
101,M7A,"Queen's Park, Ontario Provincial Government",43.659659000000005,-79.39033990000001,Wah Sing Seafood Restaurant,43.655935570829165,-79.39378308503211,Chinese Restaurant
102,M7A,"Queen's Park, Ontario Provincial Government",43.659659000000005,-79.39033990000001,Etsu,43.65596995372576,-79.39376142246397,Japanese Restaurant
103,M7A,"Queen's Park, Ontario Provincial Government",43.659659000000005,-79.39033990000001,Tim Hortons,43.659695,-79.388706,Coffee Shop
104,M7A,"Queen's Park, Ontario Provincial Government",43.659659000000005,-79.39033990000001,Tim Hortons,43.6589062,-79.3886961,Coffee Shop
105,M7A,"Queen's Park, Ontario Provincial Government",43.659659000000005,-79.39033990000001,Quick Pita,43.65879751594094,-79.39513763494665,Falafel Restaurant
106,M7A,"Queen's Park, Ontario Provincial Government",43.659659000000005,-79.39033990000001,T.A.N. Coffee,43.65602860741956,-79.39353447011945,Coffee Shop
107,M7A,"Queen's Park, Ontario Provincial Government",43.659659000000005,-79.39033990000001,Tosto,43.661198,-79.386414,Italian Restaurant
108,M7A,"Queen's Park, Ontario Provincial Government",43.659659000000005,-79.39033990000001,Bicerin Coffee,43.655831,-79.393448,Café
109,M7A,"Queen's Park, Ontario Provincial Government",43.659659000000005,-79.39033990000001,Second Cup,43.660721671691235,-79.38630837243234,Coffee Shop
110,M7A,"Queen's Park, Ontario Provincial Government",43.659659000000005,-79.39033990000001,Thai Express,43.655835,-79.38813,Restaurant
111,M7A,"Queen's Park, Ontario Provincial Government",43.659659000000005,-79.39033990000001,The Saj,43.65878737223263,-79.39520834668025,Mediterranean Restaurant
112,M7A,"Queen's Park, Ontario Provincial Government",43.659659000000005,-79.39033990000001,Presse Cafe,43.66257675207432,-79.38633959907268,Café
113,M7A,"Queen's Park, Ontario Provincial Government",43.659659000000005,-79.39033990000001,Mo'Ramyun,43.65614757920083,-79.39228230349781,Korean Restaurant
114,M7A,"Queen's Park, Ontario Provincial Government",43.659659000000005,-79.39033990000001,Pizzeria Via Mercanti,43.65679034740686,-79.38631071713952,Italian Restaurant
115,M7A,"Queen's Park, Ontario Provincial Government",43.659659000000005,-79.39033990000001,Understudy Café at Gerstein,43.662308053867875,-79.39409796741381,College Cafeteria
116,M7A,"Queen's Park, Ontario Provincial Government",43.659659000000005,-79.39033990000001,Hanoi Bistro,43.65607439508232,-79.39304513436153,Noodle House
117,M7A,"Queen's Park, Ontario Provincial Government",43.659659000000005,-79.39033990000001,Momo San Aburi Sushi Bar,43.656055,-79.393364,Japanese Restaurant
118,M9A,"Islington Avenue, Humber Valley Village",43.6794838,-79.5389092,Booster Juice,43.67952707,-79.54477308,Smoothie Shop
119,M9A,"Islington Avenue, Humber Valley Village",43.6794838,-79.5389092,Second Cup,43.67947508876911,-79.54477326697514,Coffee Shop
120,M9A,"Islington Avenue, Humber Valley Village",43.6794838,-79.5389092,Subway,43.679436161363554,-79.54469776309628,Sandwich Place
121,M9A,"Islington Avenue, Humber Valley Village",43.6794838,-79.5389092,CleanBite,43.68156311767821,-79.53440096229315,Food Service
122,M1B,"Malvern, Rouge",43.8091955,-79.2217008,Shoppers Drug Mart,43.80961,-79.222729,Pharmacy
123,M1B,"Malvern, Rouge",43.8091955,-79.2217008,Subway,43.80696135653615,-79.22147584563703,Sandwich Place
124,M1B,"Malvern, Rouge",43.8091955,-79.2217008,A&W,43.809291913550695,-79.22300921719665,Fast Food Restaurant
125,M1B,"Malvern, Rouge",43.8091955,-79.2217008,Pizza Pizza,43.80661280665735,-79.2212426662445,Pizza Place
126,M1B,"Malvern, Rouge",43.8091955,-79.2217008,Pizza Hut,43.80832603333603,-79.2206160906872,Pizza Place
127,M1B,"Malvern, Rouge",43.8091955,-79.2217008,Shoppers Drug Mart,43.8064889218881,-79.2230236530304,Pharmacy
128,M1B,"Malvern, Rouge",43.8091955,-79.2217008,KFC,43.806811867682626,-79.22078609079313,Fast Food Restaurant
129,M1B,"Malvern, Rouge",43.8091955,-79.2217008,Malvern Arena,43.808593521938036,-79.21663377206129,Skating Rink
130,M1B,"Malvern, Rouge",43.8091955,-79.2217008,Francois' No Frills,43.808416,-79.22352,Grocery Store
131,M1B,"Malvern, Rouge",43.8091955,-79.2217008,McDonald's,43.8062366,-79.2215593,Fast Food Restaurant
132,M1B,"Malvern, Rouge",43.8091955,-79.2217008,Real Fruit Bubble Tea 真果茶坊,43.80670914169484,-79.22275865163135,Bubble Tea Shop
133,M1B,"Malvern, Rouge",43.8091955,-79.2217008,Malvern Recreation Centre,43.807953813490556,-79.21708544045472,Gym / Fitness Center
134,M1B,"Malvern, Rouge",43.8091955,-79.2217008,Telfer park,43.80730965369703,-79.22640323638916,Park
135,M3B,Don Mills,43.775347,-79.3459439,CF Fairview Mall,43.777993908591895,-79.34366510981064,Shopping Mall
136,M3B,Don Mills,43.775347,-79.3459439,Moxie's Classic Grill,43.777778810576905,-79.34318499889385,American Restaurant
137,M3B,Don Mills,43.775347,-79.3459439,The LEGO Store,43.77820727238842,-79.34348299621146,Toy / Game Store
138,M3B,Don Mills,43.775347,-79.3459439,Hero Certified Burgers,43.7772948385197,-79.34458372068603,Burger Joint
139,M3B,Don Mills,43.775347,-79.3459439,Michel's Baguette,43.77708227220403,-79.34455653003414,Bakery
140,M3B,Don Mills,43.775347,-79.3459439,Apple Fairview,43.7778832,-79.3437891,Electronics Store
141,M3B,Don Mills,43.775347,-79.3459439,H&M,43.77754859086118,-79.34560423018411,Clothing Store
142,M3B,Don Mills,43.775347,-79.3459439,New York Fries - Fairview Mall,43.77860499015611,-79.34357713182652,Restaurant
143,M3B,Don Mills,43.775347,-79.3459439,Shoppers Drug Mart,43.77817,-79.345014,Pharmacy
144,M3B,Don Mills,43.775347,-79.3459439,Ten Ren's Tea Time,43.777158444629066,-79.34453087278449,Juice Bar
145,M3B,Don Mills,43.775347,-79.3459439,Booster Juice,43.77742786,-79.3449699,Juice Bar
146,M3B,Don Mills,43.775347,-79.3459439,Purdys Chocolatier,43.77816,-79.344154,Chocolate Shop
147,M3B,Don Mills,43.775347,-79.3459439,Hudson's Bay,43.777830351654046,-79.34304327486974,Department Store
148,M3B,Don Mills,43.775347,-79.3459439,SilverCity,43.77868093228815,-79.3440850072426,Movie Theater
149,M3B,Don Mills,43.775347,-79.3459439,De Berardini's,43.77806925637981,-79.34264197549473,Salon / Barbershop
150,M3B,Don Mills,43.775347,-79.3459439,Aroma Espresso Bar,43.777700197902725,-79.34465166972005,Coffee Shop
151,M3B,Don Mills,43.775347,-79.3459439,Starbucks,43.77799,-79.344091,Coffee Shop
152,M3B,Don Mills,43.775347,-79.3459439,Old Navy,43.7779901,-79.3440914,Clothing Store
153,M3B,Don Mills,43.775347,-79.3459439,TD Canada Trust,43.777763,-79.345974,Bank
154,M3B,Don Mills,43.775347,-79.3459439,Tim Hortons,43.7749925,-79.3463027,Coffee Shop
155,M3B,Don Mills,43.775347,-79.3459439,Foodland - Toronto,43.773951,-79.340148,Grocery Store
156,M3B,Don Mills,43.775347,-79.3459439,Tommy Hilfiger,43.77742747193735,-79.34589327979445,Clothing Store
157,M3B,Don Mills,43.775347,-79.3459439,Tekka Sushi,43.77417136429855,-79.3404009228877,Japanese Restaurant
158,M3B,Don Mills,43.775347,-79.3459439,Fairview Library Theatre,43.779018057023805,-79.34652599431665,Theater
159,M3B,Don Mills,43.775347,-79.3459439,Tim Hortons,43.77524918178477,-79.34773966670036,Coffee Shop
160,M3B,Don Mills,43.775347,-79.3459439,Fairview Mall Food Garden,43.77836930887007,-79.34321606591291,Food Court
161,M3B,Don Mills,43.775347,-79.3459439,RBC Royal Bank,43.777303882018465,-79.3446527392512,Bank
162,M3B,Don Mills,43.775347,-79.3459439,EB Games,43.7781866230844,-79.3433096596408,Video Game Store
163,M3B,Don Mills,43.775347,-79.3459439,Heart Sushi,43.777203,-79.343805,Japanese Restaurant
164,M3B,Don Mills,43.775347,-79.3459439,Thai Express,43.77799,-79.344091,Restaurant
165,M3B,Don Mills,43.775347,-79.3459439,Tim Hortons,43.777964,-79.344715,Coffee Shop
166,M3B,Don Mills,43.775347,-79.3459439,Subway,43.77375219472015,-79.34070116762729,Sandwich Place
167,M3B,Don Mills,43.775347,-79.3459439,Zara,43.777961241763556,-79.34469070057258,Clothing Store
168,M3B,Don Mills,43.775347,-79.3459439,Spring Rolls,43.777350695180374,-79.34397727347279,Asian Restaurant
169,M3B,Don Mills,43.775347,-79.3459439,LCBO,43.77895496200283,-79.34504796258686,Liquor Store
170,M3B,Don Mills,43.775347,-79.3459439,KFC,43.7776,-79.3442,Fast Food Restaurant
171,M3B,Don Mills,43.775347,-79.3459439,Bourbon St. Grill,43.77827649168577,-79.34324149162853,Fast Food Restaurant
172,M3B,Don Mills,43.775347,-79.3459439,Z•teca,43.777216678163484,-79.3444011179068,Burrito Place
173,M3B,Don Mills,43.775347,-79.3459439,St. Louis Bar & Grill,43.77721460733997,-79.34508093497027,Bar
174,M3B,Don Mills,43.775347,-79.3459439,Hollister Co.,43.778088689883695,-79.34370423838938,Clothing Store
175,M3B,Don Mills,43.775347,-79.3459439,SEPHORA,43.7784228,-79.3437426,Cosmetics Shop
176,M3B,Don Mills,43.775347,-79.3459439,SportChek,43.777760996766865,-79.34315772052062,Sporting Goods Shop
177,M3B,Don Mills,43.775347,-79.3459439,McDonald's,43.7784074,-79.3435742,Fast Food Restaurant
178,M3B,Don Mills,43.775347,-79.3459439,Ardene,43.77688620262047,-79.34717998514216,Women's Store
179,M3B,Don Mills,43.775347,-79.3459439,BCBG Max Azria,43.77696607091188,-79.34701924857568,Boutique
180,M3B,Don Mills,43.775347,-79.3459439,Circle K,43.7754422,-79.3478394,Convenience Store
181,M3B,Don Mills,43.775347,-79.3459439,Garage Clothing,43.77695171853015,-79.34700906250485,Clothing Store
182,M3B,Don Mills,43.775347,-79.3459439,Michel's Baguette,43.77432584600824,-79.34668494032192,Bakery
183,M3B,Don Mills,43.775347,-79.3459439,Don Mills Station Bus Terminal,43.77592896385145,-79.3469536135742,Bus Station
184,M3B,Don Mills,43.775347,-79.3459439,Cinnabon,43.77725821912876,-79.34462686293246,Bakery
185,M3B,Don Mills,43.775347,-79.3459439,Zumiez,43.777636036659636,-79.34524929542941,Clothing Store
186,M3B,Don Mills,43.775347,-79.3459439,Sunglass Hut,43.7776611,-79.3446917,Accessories Store
187,M3B,Don Mills,43.775347,-79.3459439,Gateway Newstand (Fairview),43.77837592341407,-79.34480667114258,Convenience Store
188,M3B,Don Mills,43.775347,-79.3459439,Szechuan Express,43.777966,-79.343316,Chinese Restaurant
189,M3B,Don Mills,43.775347,-79.3459439,Bath & Body Works,43.778348810835624,-79.34386521577835,Distribution Center
190,M3B,Don Mills,43.775347,-79.3459439,GNC,43.77843789497575,-79.344162940979,Supplement Shop
191,M3B,Don Mills,43.775347,-79.3459439,Bentley,43.77824084141985,-79.34353859382264,Luggage Store
192,M3B,Don Mills,43.775347,-79.3459439,Foot Locker,43.7783673,-79.3437077,Shoe Store
193,M3B,Don Mills,43.775347,-79.3459439,Manchu Wok,43.77822514623288,-79.34330206344342,Chinese Restaurant
194,M3B,Don Mills,43.775347,-79.3459439,Aéropostale,43.77828083022019,-79.34342473513604,Clothing Store
195,M3B,Don Mills,43.775347,-79.3459439,Mr Sub,43.77825560280745,-79.34325028086052,Sandwich Place
196,M3B,Don Mills,43.775347,-79.3459439,Tonyc Salon & Spa,43.778299876471415,-79.34318324796638,Spa
197,M3B,Don Mills,43.775347,-79.3459439,Yoi,43.778244,-79.34301,Japanese Restaurant
198,M3B,Don Mills,43.775347,-79.3459439,Teriyaki Experience,43.77832992258357,-79.34310953832035,Japanese Restaurant
199,M3B,Don Mills,43.775347,-79.3459439,Taco Bell,43.77861083632695,-79.34318593865498,Restaurant
200,M4B,"Parkview Hill, Woodbine Gardens",43.7062977,-79.32190729999999,Toronto Climbing Academy,43.709362,-79.315006,Rock Climbing Spot
201,M4B,"Parkview Hill, Woodbine Gardens",43.7062977,-79.32190729999999,Jawny Bakers,43.705782646822,-79.31291304477831,Gastropub
202,M4B,"Parkview Hill, Woodbine Gardens",43.7062977,-79.32190729999999,Shoppers Drug Mart,43.705933,-79.312825,Pharmacy
203,M4B,"Parkview Hill, Woodbine Gardens",43.7062977,-79.32190729999999,Pizza Pizza,43.70515901620182,-79.31312955571528,Pizza Place
204,M4B,"Parkview Hill, Woodbine Gardens",43.7062977,-79.32190729999999,Brunswick Bierworks,43.710667,-79.31772,Brewery
205,M4B,"Parkview Hill, Woodbine Gardens",43.7062977,-79.32190729999999,Venice Pizza,43.70592051370348,-79.31395663414658,Pizza Place
206,M4B,"Parkview Hill, Woodbine Gardens",43.7062977,-79.32190729999999,City Sports Centre,43.71076403259862,-79.31659226901981,Soccer Stadium
207,M4B,"Parkview Hill, Woodbine Gardens",43.7062977,-79.32190729999999,St. Clair Ave E & O'Connor Dr,43.70523283448301,-79.31327432821826,Intersection
208,M5B,"Garden District, Ryerson",43.6564995,-79.3771141,Page One Cafe,43.65777161112601,-79.3760725691681,Café
209,M5B,"Garden District, Ryerson",43.6564995,-79.3771141,Jazz Bistro,43.65567828473835,-79.37927565514764,Music Venue
210,M5B,"Garden District, Ryerson",43.6564995,-79.3771141,The Grand Hotel & Suites Toronto,43.65644901207743,-79.3741100180102,Hotel
211,M5B,"Garden District, Ryerson",43.6564995,-79.3771141,Blaze Pizza,43.656518,-79.380015,Pizza Place
212,M5B,"Garden District, Ryerson",43.6564995,-79.3771141,Burrito Boyz,43.656265264409015,-79.37834318376771,Burrito Place
